Rank,City,Total cost of living,Median contract rent,Food cost per person,Utility costs,Gas costs,Median individual income,Median household income
1,Irvine,3062,2364,372,139,187,55484,111574
2,San Jose,2812,2131,358,143,180,44890,115893
3,San Francisco,2775,1889,490,188,208,58156,123859
4,Honolulu,2462,1412,591,275,184,36632,72943
5,Seattle,2438,1648,418,198,174,52132,102486
6,Oakland,2416,1499,499,234,184,41956,82018
7,San Diego,2390,1707,352,139,192,39947,85507
8,Boston,2371,1641,411,193,127,39438,79018
9,Anaheim,2333,1602,412,147,172,31526,76075
10,Santa Ana,2244,1541,385,144,173,26272,70084
11,Washington,2217,1514,403,159,140,52758,92266
12,New York,2176,1385,486,158,147,35663,69407
13,Los Angeles,2171,1436,370,164,200,30804,67418
14,Anchorage,2078,1156,483,289,149,38723,82716
15,Jersey City,2032,1414,399,89,130,46142,81693
16,Long Beach,2021,1384,356,101,180,31728,67804
17,Riverside,2020,1316,341,192,170,29778,71967
18,Plano,2007,1292,397,200,118,48349,93321
19,Sacramento,1960,1225,386,167,182,33942,69134
20,Denver,1957,1352,336,125,143,43376,75646
21,Portland,1946,1214,375,195,162,40109,76231
22,Aurora,1921,1311,326,157,128,36710,69235
23,Miami,1835,1174,386,141,134,23154,42966
24,Henderson,1832,1241,291,156,144,39588,81505
25,Atlanta,1828,1127,398,176,128,40494,66657
26,Newark,1802,1008,346,326,121,22654,40235
27,Orlando,1779,1148,329,172,129,31258,58819
28,Virginia Beach,1772,1195,298,167,112,38477,79054
29,Austin,1759,1189,310,142,118,41482,75413
30,Tampa,1746,1039,415,160,132,31144,57709
31,Stockton,1736,996,367,201,172,27932,59504
32,Bakersfield,1722,935,388,222,177,30471,62402
33,Colorado Springs,1697,1093,335,136,134,34171,70527
34,Nashville,1690,1040,351,180,119,36092,63462
35,Minneapolis,1658,981,407,152,118,36554,65889
36,Arlington,1646,977,420,124,125,31761,61716
37,Chicago,1635,992,328,156,159,34489,61811
38,Raleigh,1627,1019,343,142,122,36910,69333
39,Charlotte,1627,1030,341,139,117,35935,63483
40,Pittsburgh,1618,863,415,198,142,30974,53799
41,Saint Paul,1613,928,357,205,124,32390,63174
42,Las Vegas,1601,995,287,157,162,31457,58713
43,Philadelphia,1586,906,396,142,142,26937,47474
44,Phoenix,1569,943,305,180,141,31503,60931
45,Jacksonville,1566,936,368,142,120,30940,56975
46,Mesa,1565,971,277,175,141,33404,63836
47,Fresno,1563,874,295,220,175,26242,53161
48,Fort Worth,1544,924,317,192,111,32058,65356
49,Dallas,1543,979,294,153,117,31877,55332
50,Baltimore,1527,923,336,141,126,30740,50177
51,Houston,1502,946,283,150,122,30625,52450
52,New Orleans,1480,851,323,198,108,27263,45615
53,Columbus,1471,827,332,183,130,31831,57118
54,Omaha,1449,792,363,183,112,34876,61305
55,San Antonio,1429,876,281,170,103,27359,53751
56,Corpus Christi,1403,868,286,142,107,27882,55564
57,Lincoln,1395,753,395,131,117,31678,59228
58,Greensboro,1392,768,349,151,123,27076,49748
59,Milwaukee,1382,740,371,155,116,26995,44192
60,Albuquerque,1378,819,303,133,123,30499,55567
61,Lexington,1359,789,299,161,110,31405,58356
62,Kansas City,1358,767,307,174,111,32233,55259
63,Detroit,1341,657,332,221,131,22379,33965
64,Cleveland,1332,603,400,204,125,21186,32053
65,Tucson,1330,722,287,201,120,25341,44365
66,Oklahoma City,1320,721,345,148,106,31626,55492
67,Indianapolis,1315,731,318,149,117,30666,49661
68,Louisville,1312,728,309,147,128,31220,54853
69,El Paso,1276,724,246,191,115,23217,48542
70,Memphis,1267,703,276,176,112,25790,43794
71,St. Louis,1265,655,317,180,113,31415,47176
72,Tulsa,1249,674,266,197,112,29429,49158
73,Cincinnati,1226,660,311,134,120,29282,46260
74,Wichita,1219,650,259,201,108,30563,55056